SUBSTATION_ID,SUBSTATION_NAME,DISPLAY NAME,CAPACITY,DC CAPACITY,STATE_NAME,ENERGY TYPE,SUBSTATION_TYPE,Band,Tag
SS00695,Susner_F,Susner_F,13.5,15,IN_MP,SOLAR,INTRA_STATE,,
SS00697,Jaora_ratlam,Jaora_ratlam,30,30,IN_MP,WIND,INTRA_STATE,,
SS00699,Manesamudram,Manesamudram,1.89,2,IN_AP,SOLAR,INTRA_STATE,,
SS00700,Chapda,Chapda,15.2,15.2,IN_MP,WIND,INTRA_STATE,,
SS00701,Dewas_S,Dewas_S,13.75,13.75,IN_MP,WIND,INTRA_STATE,,
SS00702,Nandhanahosor_Solar,NVR_Renew_20,20,23.191,IN_KA,SOLAR,INTRA_STATE,,
SS00703,Kustagi_Greenko,Kustagi_Greenko,107.1,107.1,IN_KA,WIND,INTRA_STATE,,
SS00704,Chegunta,Chegunta,20,24,IN_TG,SOLAR,INTRA_STATE,,
SS00705,Nandipet,Nandipet,20,24,IN_TG,SOLAR,INTRA_STATE,,
SS00706,Ramayampet,Ramayampet,10,12,IN_TG,SOLAR,INTRA_STATE,,
SS00707,Tekkalkote,Tekkalkote,24,32,IN_KA,SOLAR,INTRA_STATE,,
SS00708,Kolhar,Bidar_SS,40,52,IN_KA,SOLAR,INTRA_STATE,,
SS00709,Ramagiri_ILFS,Ramagiri_ILFS,2,2,IN_AP,WIND,INTRA_STATE,,
SS00710,Janwad,Janwad,10,14.35,IN_KA,SOLAR,INTRA_STATE,,
SS00711,Dharmavaram,Dharmavaram,18,18,IN_AP,WIND,INTRA_STATE,,
SS00712,Ratta_Tibba,Ratta_Tibba,15.75,21,IN_PB,SOLAR,INTRA_STATE,,
SS00713,Kaller_Khera,Kaller_Khera,20.25,24.99,IN_PB,SOLAR,INTRA_STATE,,
SS00714,Khuian_Sarwar,Khuian_Sarwar,20.25,24.99,IN_PB,SOLAR,INTRA_STATE,,
SS00715,Charanka_AB,Charanka_AB,14,15,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS00716,Kalwakurthy,Kalwakurthy,10,11,IN_TG,SOLAR,INTRA_STATE,,
SS00717,Peddashankarampet,Peddashankarampet,10,11,IN_TG,SOLAR,INTRA_STATE,,
SS00718,Chintalapudi,Chintalapudi,2,2.2,IN_AP,SOLAR,INTRA_STATE,,
SS00722,Fatanpur,Fatanpur,108,108,IN_MP,WIND,INTRA_STATE,0.15,Daily
SS00723,Mustiyal,Mustiyal,10,11,IN_TG,SOLAR,INTRA_STATE,,
SS00725,Yaragatti_Bosch,Yaragatti_Bosch,12,14.4,IN_KA,SOLAR,INTRA_STATE,,
SS00726,Weizmann_ASL,Weizmann_ASL,6.825,6.825,IN_AP,WIND,INTRA_STATE,,
SS00727,Weizmann_APSRTC,Weizmann_APSRTC,4.5,4.5,IN_AP,WIND,INTRA_STATE,,
SS00728,Aitipamula,AMPL_Tel_15,15,19,IN_TG,SOLAR,INTRA_STATE,,
SS00731,Veltoor,Veltoor,100,120.056,IN_TG,SOLAR,INTRA_STATE,,
SS00732,Nallapadu,Nallapadu,0.9,1,IN_AP,SOLAR,INTRA_STATE,,
SS00733,Morgale,Morgale,54,69.9,IN_MH,SOLAR,INTRA_STATE,,
SS00743,Pavagada_Yarrow,Pavagada_Yarrow,50,70,IN_KA,SOLAR,INTER_STATE,,
SS00747,MIDJIL_UE,MIDJIL_UE,10,10,IN_TG,SOLAR,INTRA_STATE,,
